This is the complete list of games supported by PinMAME 3.6.0.1223 [MAME 0.76] (Jan 24 2025).

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Avatar (V1.1)                    |  Yes  |  Yes  |  Yes  |  Yes  | avr_110  |
| Avatar (V2.0)                    |  Yes  |  Yes  |  Yes  |  Yes  | avr_200  |
| Avatar (V1.06)                   |  Yes  |  Yes  |  Yes  |  Yes  | avr_106  |
| Avatar Limited Edition (V1.01)   |  Yes  |  Yes  |  Yes  |  Yes  | avr_101h |
| Avatar Limited Edition (V1.2)    |  Yes  |  Yes  |  Yes  |  Yes  | avr_120h |
| Avengers, The (V1.4)             |  Yes  |  Yes  |  Yes  |  Yes  | avs_140  |
| Avengers, The (V1.1)             |  Yes  |  Yes  |  Yes  |  Yes  | avs_110  |
| Avengers, The (V1.7)             |  Yes  |  Yes  |  Yes  |  Yes  | avs_170  |
| Avengers, The (V1.7) (Colored MOD|  Yes  |  Yes  |  Yes  |  Yes  | avs_170c |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_120h |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_170h |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_170hc |
| Avengers, The Limited Edition (V1|  Yes  |  Yes  |  Yes  |  Yes  | avs_140h |
| BMX                              |  Yes  |  Yes  |  Yes  |  Yes  | bmx      |
| BMX (Free Play)                  |  Yes  |  Yes  |  Yes  |  Yes  | bmxa     |
| Baby Pac-Man (Video/Pinball Combo|  Yes  |  Yes  |  Yes  |  Yes  | babypacn |
| Baby Pac-Man (Video/Pinball Combo|  Yes  |  Yes  |  Yes  |  Yes  | babypaca |
| Baby Pac-Man (Video/Pinball Combo|  Yes  |  Yes  |  Yes  |  Yes  | babypac  |
| Back to the Future (2.7)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a27 |
| Back to the Future (2.7 German)  |  Yes  |  Yes  |  Yes  |  Yes  | bttf_g27 |
| Back to the Future (2.8)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a28 |
| Back to the Future (2.0)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a20 |
| Back to the Future (2.1)         |  Yes  |  Yes  |  Yes  |  Yes  | bttf_a21 |
| Bad Cats (The Cat's Meow)        |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_tcm |
| Bad Cats (L-5)                   |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_l5 |
| Bad Cats (LG-4)                  |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_g4 |
| Bad Cats (LA-2)                  |  Yes  |  Yes  | Yes(2)|  Yes  | bcats_l2 |
| Bad Girls (German)               |  Yes  |  Yes  | Yes(2)|  Yes  | badgirlg |
| Bad Girls (German Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | badgrgfp |
| Bad Girls (Free Play)            |  Yes  |  Yes  | Yes(2)|  Yes  | badgrlfp |
| Bad Girls                        |  Yes  |  Yes  | Yes(2)|  Yes  | badgirls |
| Bad Girls (French)               |  Yes  |  Yes  | Yes(2)|  Yes  | badgirlf |
| Bad Girls (French Free Play)     |  Yes  |  Yes  | Yes(2)|  Yes  | badgrffp |
| Bad Girls (alternate set)        |  Yes  |  Yes  | Yes(2)|  Yes  | badgirl2 |
| Banzai Run (L-3)                 |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_l3 |
| Banzai Run (G-3 German)          |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_g3 |
| Banzai Run (L-3 Target sound fix)|  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_t3 |
| Banzai Run (L-1)                 |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_l1 |
| Banzai Run (P-A Prototype)       |  Yes  |  Yes  | Yes(2)|  Yes  | bnzai_pa |
| Barb Wire                        |  Yes  |  Yes  | Yes(2)|  Yes  | barbwire |
| Barracora (L-1)                  |  Yes  |  Yes  | Yes(2)|  Yes  | barra_l1 |
| Basketball                       |  Yes  |  Yes  |  Yes  |  Yes  | bsktball |
